dataId,trsmDy,trmnId,trsmUtcTime,trsmYear,trsmMt,trsmTm,trsmMs,vhcleLot,vhcleLat,vhcleEvt,trmnTypeCd,gpsUtcTime,vhcleDrc,vhcleSped,trnsmStatCd,lcdtRevisnStatCd,vhcleTypeCd,rgtrId,regDt,addr
PVDL-IDV1257493330-1722571351-4583,2,IDV1257493330,1722575945082.0,2024,08,141905,082,126.9572551,37.5572247,47.0,001,1722575945009.0,90.98750000000001,9.0,2,8,9228,v2x,2024-08-02 05:19:05,마포구
PVDL-IDV1257487740-1722573253-2718,2,IDV1257487740,1722575945067.0,2024,08,141905,067,126.9364972,37.5599003,32.0,001,1722575945009.0,91.98750000000001,0.0,1,2,9228,v2x,2024-08-02 05:19:05,서대문구
PVDL-IDV1257485950-1722572984-2950,2,IDV1257485950,1722575945017.0,2024,08,141905,017,127.06591,37.479216,48.0,001,1722575944003.0,235.0875,0.0,7,0,9228,v2x,2024-08-02 05:19:05,강남구
PVDL-IDV1257479190-1722573014-2921,2,IDV1257479190,1722575945047.0,2024,08,141905,047,126.921359,37.618728,37.0,001,1722575945007.0,164.03750000000002,18.0,1,0,9228,v2x,2024-08-02 05:19:05,은평구
PVDL-IDV1257478540-1722556445-19490,2,IDV1257478540,1722575945079.0,2024,08,141905,079,126.922802,37.617377,42.0,001,1722575945009.0,317.7375,1.0,2,0,9228,v2x,2024-08-02 05:19:05,은평구
PVDL-IDV1257478290-1722554994-20947,2,IDV1257478290,1722575945051.0,2024,08,141905,051,126.9215946,37.6189734,42.0,001,1722575945009.0,250.9875,16.0,2,2,9228,v2x,2024-08-02 05:19:05,은평구
PVDL-IDV1257476040-1722567180-8755,2,IDV1257476040,1722575945065.0,2024,08,141905,065,127.03458,37.484046,59.0,001,1722575945007.0,321.3125,22.0,2,0,9228,v2x,2024-08-02 05:19:05,서초구
PVDL-IDV1257464540-1722545491-30443,2,IDV1257464540,1722575945082.0,2024,08,141905,082,127.0271021,37.6394066,43.0,001,1722575945009.0,38.987500000000004,0.0,0,2,9228,v2x,2024-08-02 05:19:05,강북구
PVDL-IDV1257463340-1722544679-31261,2,IDV1257463340,1722575945043.0,2024,08,141905,043,127.061193,37.651905,48.0,001,1722575945010.0,167.15,1.0,2,0,9228,v2x,2024-08-02 05:19:05,노원구
PVDL-IDV1257458630-1722557078-18856,2,IDV1257458630,1722575945042.0,2024,08,141905,042,126.971424,37.536464,46.0,001,1722575945001.0,111.9375,24.0,2,0,9228,v2x,2024-08-02 05:19:05,용산구
